"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1001.4","1006.9","26.0","25.1","95","0.3","220","1.8","100","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1000.9","1006.4","25.6","25.1","97","0.6","120","1.3","200","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1000.6","1006.1","25.5","25.2","98","0.8","290","1.5","150","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1000.7","1006.2","25.3","25.0","98","1.1","330","1.7","330","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1000.9","1006.4","25.2","24.9","98","0.6","50","2.4","350","0.0","0.0","--","0.00","--","0","--","28.6","29.6","29.9","31.0","31.3","31.2","31.0"
"06","1001.2","1006.7","25.4","25.1","98","0.5","320","1.7","140","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1001.6","1007.1","26.5","25.8","96","0.3","60","1.9","90","0.0","0.0","0.1","0.22","--","0","--","--","--","--","--","--","--","--"
"08","1002.0","1007.5","28.5","25.9","86","0.6","110","1.8","110","0.0","0.0","0.8","0.88","30.0","1","3.0","--","--","--","--","--","--","--"
"09","1002.1","1007.5","30.6","25.5","74","0.4","110","2.3","10","0.0","0.0","1.0","1.80","40.0","3","3.0","30.5","29.5","29.8","30.7","31.1","31.2","31.0"
"10","1001.8","1007.2","30.3","24.0","69","0.8","340","2.3","340","0.0","0.0","0.5","1.28","--","4","--","--","--","--","--","--","--","--"
"11","1001.2","1006.6","32.0","25.1","67","0.9","330","3.3","20","0.0","0.0","1.0","2.96","45.0","9","3.0","--","--","--","--","--","--","--"
"12","1000.3","1005.7","32.2","24.0","62","0.9","320","3.4","20","0.0","0.0","0.8","2.85","--","9","--","--","--","--","--","--","--","--"
"13","998.9","1004.3","32.3","25.7","68","0.9","220","2.6","210","0.0","0.0","0.2","1.49","--","5","--","--","--","--","--","--","--","--"
"14","998.8","1004.2","32.4","26.2","70","1.4","250","3.9","250","0.0","0.0","0.2","1.94","30.0","5","8.0","32.5","31.4","31.7","31.2","31.0","31.1","31.0"
"15","998.2","1003.6","32.0","26.3","72","1.5","220","3.2","260","0.0","0.0","0.1","1.10","--","3","--","--","--","--","--","--","--","--"
"16","998.2","1003.6","31.7","26.5","74","0.8","270","2.8","260","0.0","0.0","0.0","0.68","--","2","--","--","--","--","--","--","--","--"
"17","998.0","1003.4","30.8","26.7","79","1.2","260","3.5","280","0.0","0.0","0.1","0.40","30.0","1","8.0","--","--","--","--","--","--","--"
"18","998.3","1003.7","30.1","26.9","83","0.7","320","2.5","290","0.0","0.0","0.1","0.10","--","0","--","--","--","--","--","--","--","--"
"19","998.9","1004.3","29.1","27.5","91","0.1","0","1.9","310","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","999.9","1005.4","28.6","27.5","94","1.3","120","1.8","120","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","999.7","1005.2","27.9","27.2","96","1.1","70","1.8","80","0.0","0.0","--","0.00","--","0","--","30.3","31.1","31.4","31.8","31.5","31.1","31.0"
"22","999.2","1004.7","27.6","26.9","96","0.5","90","1.9","110","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","999.2","1004.7","27.4","26.7","96","0.7","170","1.7","130","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","998.3","1003.8","27.2","26.7","97","0.7","270","1.7","190","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
