"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","紫外線指數","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","UVI","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1016.4","1022.2","13.8","12.7","93","0.7","360","1.8","330","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"02","1016.3","1022.1","13.8","12.4","91","0.5","350","1.3","340","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"03","1015.8","1021.6","13.5","12.4","93","1.1","90","1.6","80","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"04","1016.0","1021.8","13.8","12.5","92","1.0","350","2.6","320","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"05","1016.3","1022.1","13.6","12.5","93","1.5","60","2.6","340","0.0","0.0","--","0.00","0","/","19.2","19.4","20.7","21.2","21.8","23.2"
"06","1016.4","1022.2","13.5","12.4","93","1.4","310","3.3","350","0.0","0.0","0.0","0.00","0","--","--","--","--","--","--","--"
"07","1016.5","1022.3","14.1","12.7","91","0.7","20","1.9","340","0.0","0.0","0.2","0.10","0","--","--","--","--","--","--","--"
"08","1016.7","1022.5","15.7","13.0","84","1.5","40","3.5","20","0.0","0.0","1.0","0.65","1","--","--","--","--","--","--","--"
"09","1016.9","1022.6","18.3","13.8","75","2.1","360","4.0","350","0.0","0.0","1.0","1.46","2","/","18.9","19.1","20.4","21.0","21.8","23.2"
"10","1017.4","1023.1","20.2","14.1","68","3.5","330","6.0","310","0.0","0.0","1.0","2.21","4","--","--","--","--","--","--","--"
"11","1017.5","1023.2","21.7","14.6","64","2.3","350","6.6","340","0.0","0.0","1.0","2.78","7","--","--","--","--","--","--","--"
"12","1016.8","1022.5","22.8","14.9","61","3.2","330","6.1","330","0.0","0.0","1.0","3.13","8","--","--","--","--","--","--","--"
"13","1015.3","1020.9","24.6","15.8","58","2.3","350","5.5","10","0.0","0.0","1.0","3.19","9","--","--","--","--","--","--","--"
"14","1014.2","1019.8","25.2","16.1","57","2.7","320","5.0","310","0.0","0.0","1.0","2.99","8","/","20.9","21.3","20.7","20.9","21.7","23.1"
"15","1013.6","1019.2","23.8","15.9","61","3.7","320","6.3","310","0.0","0.0","1.0","2.49","5","--","--","--","--","--","--","--"
"16","1013.3","1018.9","22.8","15.9","65","2.6","330","7.1","330","0.0","0.0","1.0","1.81","3","--","--","--","--","--","--","--"
"17","1013.9","1019.6","20.9","15.2","70","3.8","320","6.2","310","0.0","0.0","1.0","0.98","1","--","--","--","--","--","--","--"
"18","1015.1","1020.8","18.7","14.6","77","3.4","320","7.6","340","0.0","0.0","0.5","0.24","0","--","--","--","--","--","--","--"
"19","1015.6","1021.3","17.8","14.5","81","2.0","340","6.1","320","0.0","0.0","0.0","0.00","0","--","--","--","--","--","--","--"
"20","1016.3","1022.1","17.3","14.6","84","1.7","350","3.9","350","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"21","1016.5","1022.3","17.0","14.6","86","1.1","340","3.0","360","0.0","0.0","--","0.00","0","/","21.3","21.6","21.8","21.6","21.7","23.1"
"22","1016.9","1022.7","16.6","14.6","88","1.7","330","2.5","330","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"23","1017.4","1023.2","16.3","14.5","89","1.2","10","3.2","320","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"24","1017.1","1022.9","16.1","14.6","91","0.3","180","1.5","20","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
