Date,kpt,Temperature,Humidity,Rain,day_week,Hour,label,pv,use
2024/7/12,604.5,28.5,86,0,5,0,63,0,604.5
2024/7/12,614.5,28.3,85,0,5,1,63,0,614.5
2024/7/12,610.25,27.9,86,0,5,2,63,0,610.25
2024/7/12,595.25,28,85,0,5,3,63,0,595.25
2024/7/12,603.25,27.9,86,0,5,4,63,0,603.25
2024/7/12,432.75,27.9,87,0,5,5,63,7,439.75
2024/7/12,299.75,28.2,86,0,5,6,63,57,356.75
2024/7/12,223.5,29.4,77,0,5,7,63,144,367.5
2024/7/12,187.75,30.7,70,0,5,8,63,252,439.75
2024/7/12,102.25,31.6,67,0,5,9,63,358,460.25
2024/7/12,-86.75,32.2,64,0,5,10,63,419,332.25
2024/7/12,8.75,32.7,64,0,5,11,63,356,364.75
2024/7/12,-21,33.7,64,0,5,12,63,372,351
2024/7/12,-56.5,33.7,65,0,5,13,63,388,331.5
2024/7/12,123.75,34.1,60,0,5,14,63,367,490.75
2024/7/12,299.75,33.3,66,0,5,15,63,276,575.75
2024/7/12,353.25,32.8,65,0,5,16,63,200,553.25
2024/7/12,480.5,32.4,64,0,5,17,63,51,531.5
2024/7/12,464,31.4,70,0,5,18,63,8,472
2024/7/12,473.25,31.1,72,0,5,19,63,0,473.25
2024/7/12,460.25,30.8,75,0,5,20,63,0,460.25
2024/7/12,449,30.7,76,0,5,21,63,0,449
2024/7/12,453.75,30.5,75,0,5,22,63,0,453.75
2024/7/12,450.75,30.1,78,0,5,23,63,0,450.75
2024/7/13,626,30,79,0,6,0,62,0,626
2024/7/13,618.25,29.7,81,0,6,1,62,0,618.25
2024/7/13,631,29.3,86,0,6,2,62,0,631
2024/7/13,596.5,29.2,86,0,6,3,62,0,596.5
2024/7/13,585,29,86,0,6,4,62,0,585
2024/7/13,426.75,28.9,86,0,6,5,62,7,433.75
2024/7/13,298.5,29,86,0,6,6,62,63,361.5
2024/7/13,212.5,30.1,78,0,6,7,62,175,387.5
2024/7/13,138,31.2,72,0,6,8,62,255,393
2024/7/13,63,32.3,66,0,6,9,62,348,411
2024/7/13,-114.75,32.6,67,0,6,10,62,363,248.25
2024/7/13,112.75,32.8,69,0,6,11,62,338,450.75
2024/7/13,193.75,32.9,69,0,6,12,62,247,440.75
2024/7/13,81.25,33.1,67,0,6,13,62,375,456.25
2024/7/13,-116,33.2,65,0,6,14,62,372,256
2024/7/13,-0.5,33.2,63,0,6,15,62,259,258.5
2024/7/13,175.75,32.8,62,0,6,16,62,91,266.75
2024/7/13,320.25,31.4,64,0,6,17,62,34,354.25
2024/7/13,408.75,30.5,64,0,6,18,62,10,418.75
2024/7/13,449,29.6,64,0,6,19,62,0,449
2024/7/13,426.25,29.9,66,0,6,20,62,0,426.25
2024/7/13,420.25,29.5,68,0,6,21,62,0,420.25
2024/7/13,418.5,29.2,70,0,6,22,62,0,418.5
2024/7/13,405.25,29.3,69,0,6,23,62,0,405.25
2024/7/14,618.5,29,70,0,0,0,62,0,618.5
2024/7/14,594.75,28.8,70,0,0,1,62,0,594.75
2024/7/14,546.25,28.6,66,0,0,2,62,0,546.25
2024/7/14,374,28.5,63,0,0,3,62,0,374
2024/7/14,376.75,27.7,68,0,0,4,62,0,376.75
