Time,kpt,Temperature,Humidity,Rain,day_of_week,day_off,Month,Day,Hour,Minute
2024-07-11 17:30:00+08:00,522,30.9,74,0.0,4,0,7,11,17,30
2024-07-11 17:45:00+08:00,514,30.9,74,0.0,4,0,7,11,17,45
2024-07-11 18:00:00+08:00,509,31.1,73,0.0,4,0,7,11,18,0
2024-07-11 18:15:00+08:00,500,31.1,73,0.0,4,0,7,11,18,15
2024-07-11 18:30:00+08:00,513,31.1,73,0.0,4,0,7,11,18,30
2024-07-11 18:45:00+08:00,546,31.1,73,0.0,4,0,7,11,18,45
2024-07-11 19:00:00+08:00,520,30.3,77,0.0,4,0,7,11,19,0
2024-07-11 19:15:00+08:00,509,30.3,77,0.0,4,0,7,11,19,15
2024-07-11 19:30:00+08:00,500,30.3,77,0.0,4,0,7,11,19,30
2024-07-11 19:45:00+08:00,512,30.3,77,0.0,4,0,7,11,19,45
2024-07-11 20:00:00+08:00,515,29.8,79,0.0,4,0,7,11,20,0
2024-07-11 20:15:00+08:00,507,29.8,79,0.0,4,0,7,11,20,15
2024-07-11 20:30:00+08:00,487,29.8,79,0.0,4,0,7,11,20,30
2024-07-11 20:45:00+08:00,502,29.8,79,0.0,4,0,7,11,20,45
2024-07-11 21:00:00+08:00,512,29.6,78,0.0,4,0,7,11,21,0
2024-07-11 21:15:00+08:00,474,29.6,78,0.0,4,0,7,11,21,15
2024-07-11 21:30:00+08:00,447,29.6,78,0.0,4,0,7,11,21,30
2024-07-11 21:45:00+08:00,459,29.6,78,0.0,4,0,7,11,21,45
2024-07-11 22:00:00+08:00,454,29.4,78,0.0,4,0,7,11,22,0
2024-07-11 22:15:00+08:00,433,29.4,78,0.0,4,0,7,11,22,15
2024-07-11 22:30:00+08:00,441,29.4,78,0.0,4,0,7,11,22,30
2024-07-11 22:45:00+08:00,432,29.4,78,0.0,4,0,7,11,22,45
2024-07-11 23:00:00+08:00,431,28.9,84,0.0,4,0,7,11,23,0
2024-07-11 23:15:00+08:00,422,28.9,84,0.0,4,0,7,11,23,15
2024-07-11 23:30:00+08:00,420,28.9,84,0.0,4,0,7,11,23,30
2024-07-11 23:45:00+08:00,409,28.9,84,0.0,4,0,7,11,23,45
2024-07-12 00:00:00+08:00,590,28.5,86,0.0,5,1,7,12,0,0
2024-07-12 00:15:00+08:00,600,28.5,86,0.0,5,1,7,12,0,15
2024-07-12 00:30:00+08:00,618,28.5,86,0.0,5,1,7,12,0,30
2024-07-12 00:45:00+08:00,610,28.5,86,0.0,5,1,7,12,0,45
2024-07-12 01:00:00+08:00,601,28.3,85,0.0,5,1,7,12,1,0
2024-07-12 01:15:00+08:00,593,28.3,85,0.0,5,1,7,12,1,15
2024-07-12 01:30:00+08:00,632,28.3,85,0.0,5,1,7,12,1,30
2024-07-12 01:45:00+08:00,632,28.3,85,0.0,5,1,7,12,1,45
2024-07-12 02:00:00+08:00,634,27.9,86,0.0,5,1,7,12,2,0
2024-07-12 02:15:00+08:00,613,27.9,86,0.0,5,1,7,12,2,15
2024-07-12 02:30:00+08:00,601,27.9,86,0.0,5,1,7,12,2,30
2024-07-12 02:45:00+08:00,593,27.9,86,0.0,5,1,7,12,2,45
2024-07-12 03:00:00+08:00,592,28.0,85,0.0,5,1,7,12,3,0
2024-07-12 03:15:00+08:00,590,28.0,85,0.0,5,1,7,12,3,15
2024-07-12 03:30:00+08:00,586,28.0,85,0.0,5,1,7,12,3,30
2024-07-12 03:45:00+08:00,613,28.0,85,0.0,5,1,7,12,3,45
2024-07-12 04:00:00+08:00,624,27.9,86,0.0,5,1,7,12,4,0
2024-07-12 04:15:00+08:00,607,27.9,86,0.0,5,1,7,12,4,15
2024-07-12 04:30:00+08:00,605,27.9,86,0.0,5,1,7,12,4,30
2024-07-12 04:45:00+08:00,577,27.9,86,0.0,5,1,7,12,4,45
2024-07-12 05:00:00+08:00,556,27.9,87,0.0,5,1,7,12,5,0
2024-07-12 05:15:00+08:00,502,27.9,87,0.0,5,1,7,12,5,15
2024-07-12 05:30:00+08:00,341,27.9,87,0.0,5,1,7,12,5,30
2024-07-12 05:45:00+08:00,332,27.9,87,0.0,5,1,7,12,5,45
2024-07-12 06:00:00+08:00,318,28.2,86,0.0,5,1,7,12,6,0
2024-07-12 06:15:00+08:00,313,28.2,86,0.0,5,1,7,12,6,15
2024-07-12 06:30:00+08:00,294,28.2,86,0.0,5,1,7,12,6,30
2024-07-12 06:45:00+08:00,274,28.2,86,0.0,5,1,7,12,6,45
2024-07-12 07:00:00+08:00,256,29.4,77,0.0,5,1,7,12,7,0
2024-07-12 07:15:00+08:00,224,29.4,77,0.0,5,1,7,12,7,15
2024-07-12 07:30:00+08:00,212,29.4,77,0.0,5,1,7,12,7,30
2024-07-12 07:45:00+08:00,202,29.4,77,0.0,5,1,7,12,7,45
2024-07-12 08:00:00+08:00,210,30.7,70,0.0,5,1,7,12,8,0
2024-07-12 08:15:00+08:00,267,30.7,70,0.0,5,1,7,12,8,15
2024-07-12 08:30:00+08:00,158,30.7,70,0.0,5,1,7,12,8,30
2024-07-12 08:45:00+08:00,116,30.7,70,0.0,5,1,7,12,8,45
2024-07-12 09:00:00+08:00,132,31.6,67,0.0,5,1,7,12,9,0
2024-07-12 09:15:00+08:00,87,31.6,67,0.0,5,1,7,12,9,15
2024-07-12 09:30:00+08:00,105,31.6,67,0.0,5,1,7,12,9,30
2024-07-12 09:45:00+08:00,85,31.6,67,0.0,5,1,7,12,9,45
2024-07-12 10:00:00+08:00,-90,32.2,64,0.0,5,1,7,12,10,0
2024-07-12 10:15:00+08:00,-86,32.2,64,0.0,5,1,7,12,10,15
2024-07-12 10:30:00+08:00,-81,32.2,64,0.0,5,1,7,12,10,30
2024-07-12 10:45:00+08:00,-90,32.2,64,0.0,5,1,7,12,10,45
2024-07-12 11:00:00+08:00,41,32.7,64,0.0,5,1,7,12,11,0
2024-07-12 11:15:00+08:00,112,32.7,64,0.0,5,1,7,12,11,15
2024-07-12 11:30:00+08:00,-32,32.7,64,0.0,5,1,7,12,11,30
2024-07-12 11:45:00+08:00,-86,32.7,64,0.0,5,1,7,12,11,45
2024-07-12 12:00:00+08:00,-50,33.7,64,0.0,5,1,7,12,12,0
2024-07-12 12:15:00+08:00,-39,33.7,64,0.0,5,1,7,12,12,15
2024-07-12 12:30:00+08:00,-44,33.7,64,0.0,5,1,7,12,12,30
2024-07-12 12:45:00+08:00,49,33.7,64,0.0,5,1,7,12,12,45
2024-07-12 13:00:00+08:00,47,33.7,65,0.0,5,1,7,12,13,0
2024-07-12 13:15:00+08:00,-103,33.7,65,0.0,5,1,7,12,13,15
2024-07-12 13:30:00+08:00,-95,33.7,65,0.0,5,1,7,12,13,30
2024-07-12 13:45:00+08:00,-75,33.7,65,0.0,5,1,7,12,13,45
2024-07-12 14:00:00+08:00,-48,34.1,60,0.0,5,1,7,12,14,0
2024-07-12 14:15:00+08:00,34,34.1,60,0.0,5,1,7,12,14,15
2024-07-12 14:30:00+08:00,227,34.1,60,0.0,5,1,7,12,14,30
2024-07-12 14:45:00+08:00,282,34.1,60,0.0,5,1,7,12,14,45
2024-07-12 15:00:00+08:00,273,33.3,66,0.0,5,1,7,12,15,0
2024-07-12 15:15:00+08:00,278,33.3,66,0.0,5,1,7,12,15,15
2024-07-12 15:30:00+08:00,310,33.3,66,0.0,5,1,7,12,15,30
2024-07-12 15:45:00+08:00,338,33.3,66,0.0,5,1,7,12,15,45
2024-07-12 16:00:00+08:00,333,32.8,65,0.0,5,1,7,12,16,0
2024-07-12 16:15:00+08:00,329,32.8,65,0.0,5,1,7,12,16,15
2024-07-12 16:30:00+08:00,360,32.8,65,0.0,5,1,7,12,16,30
2024-07-12 16:45:00+08:00,391,32.8,65,0.0,5,1,7,12,16,45
2024-07-12 17:00:00+08:00,479,32.4,64,0.0,5,1,7,12,17,0
2024-07-12 17:15:00+08:00,497,32.4,64,0.0,5,1,7,12,17,15
