Time,label
2024/7/11,61
2024/7/12,63
2024/7/13,62
2024/7/14,62
2024/7/15,64
2024/7/16,64
2024/7/17,64
2024/7/18,64
2024/7/19,63
2024/7/20,63
2024/7/21,62
2024/7/22,64
2024/7/23,64
2024/7/24,64
2024/7/25,64
2024/7/26,62
2024/7/27,62
2024/7/28,62
2024/7/29,63
2024/7/30,63
2024/7/31,63
2024/8/1,62
2024/8/2,62
2024/8/3,62
2024/8/4,62
2024/8/5,63
2024/8/6,64
2024/8/7,63
2024/8/8,63
2024/8/9,62
2024/8/10,62
2024/8/11,62
2024/8/12,64
2024/8/13,64
2024/8/14,63
2024/8/15,63
2024/8/16,62
2024/8/17,62
2024/8/18,62
2024/8/19,63
2024/8/20,63
2024/8/21,63
2024/8/22,62
2024/8/23,62
2024/8/24,62
2024/8/25,62
2024/8/26,63
2024/8/27,63
2024/8/28,63
2024/8/29,64
2024/8/30,63
2024/8/31,64
2024/9/1,63
2024/9/2,64
2024/9/3,64
2024/9/4,64
2024/9/5,64
2024/9/6,64
2024/9/7,2
2024/9/8,2
2024/9/9,1
2024/9/10,1
2024/9/11,1
2024/9/12,1
2024/9/13,1
2024/9/14,2
2024/9/15,2
2024/9/16,1
2024/9/17,2
2024/9/18,1
2024/9/19,1
2024/9/20,1
2024/9/21,2
2024/9/22,2
2024/9/23,1
2024/9/24,1
2024/9/25,1
2024/9/26,1
2024/9/27,1
2024/9/28,2
2024/9/29,2
2024/9/30,1
2024/10/1,1
2024/10/2,1
2024/10/3,1
2024/10/4,1
2024/10/5,2
2024/10/6,2
2024/10/7,1
2024/10/8,1
2024/10/9,1
2024/10/10,2
2024/10/11,1
2024/10/12,2
2024/10/13,2
2024/10/14,1
2024/10/15,1
2024/10/16,1
2024/10/17,1
2024/10/18,1
2024/10/19,2
2024/10/20,2
2024/10/21,1
2024/10/22,1
2024/10/23,1
2024/10/24,1
2024/10/25,1
2024/10/26,2
2024/10/27,2
2024/10/28,1
2024/10/29,1
2024/10/30,1
2024/10/31,1
2024/11/1,1
2024/11/2,4
2024/11/3,4
2024/11/4,3
2024/11/5,3
2024/11/6,3
2024/11/7,3
2024/11/8,3
2024/11/9,2
2024/11/10,2
2024/11/11,1
2024/11/12,1
2024/11/13,1
2024/11/14,1
2024/11/15,1
2024/11/16,2
2024/11/17,2
2024/11/18,1
2024/11/19,1
2024/11/20,1
2024/11/21,1
2024/11/22,1
2024/11/23,2
2024/11/24,2
2024/11/25,1
2024/11/26,1
2024/11/27,1
2024/11/28,1
2024/11/29,1
2024/11/30,2
2024/12/1,2
2024/12/2,1
2024/12/3,1
2024/12/4,1
2024/12/5,1
2024/12/6,1
2024/12/7,2
2024/12/8,2
2024/12/9,1
2024/12/10,1
2024/12/11,1
2024/12/12,1
2024/12/13,1
2024/12/14,2
2024/12/15,2
2024/12/16,1
2024/12/17,1
2024/12/18,1
2024/12/19,1
2024/12/20,1
2024/12/21,2
2024/12/22,2
2024/12/23,1
2024/12/24,1
2024/12/25,1
2024/12/26,1
2024/12/27,1
2024/12/28,2
2024/12/29,2
2024/12/30,1
2024/12/31,1
2025/1/1,2
2025/1/2,1
2025/1/3,1
2025/1/4,4
2025/1/5,4
2025/1/6,3
2025/1/7,3
2025/1/8,3
2025/1/9,3
2025/1/10,3
2025/1/11,2
2025/1/12,2
2025/1/13,74
2025/1/14,74
2025/1/15,74
2025/1/16,74
2025/1/17,74
2025/1/18,73
2025/1/19,72
2025/1/20,73
2025/1/21,73
2025/1/22,73
2025/1/23,73
2025/1/24,72
2025/1/25,71
2025/1/26,71
2025/1/27,72
2025/1/28,71
2025/1/29,71
2025/1/30,71
2025/1/31,72
2025/2/1,71
2025/2/2,71
2025/2/3,73
2025/2/4,72
2025/2/5,73
2025/2/6,73
2025/2/7,72
2025/2/8,73
2025/2/9,72
2025/2/10,72
2025/2/11,72
2025/2/12,73
2025/2/13,74
2025/2/14,74
2025/2/15,2
2025/2/16,2
2025/2/17,1
2025/2/18,1
2025/2/19,1
2025/2/20,1
2025/2/21,1
2025/2/22,2
2025/2/23,2
2025/2/24,1
2025/2/25,1
2025/2/26,1
2025/2/27,1
2025/2/28,5
2025/3/1,5
2025/3/2,5
2025/3/3,1
2025/3/4,1
2025/3/5,1
2025/3/6,1
2025/3/7,1
2025/3/8,2
2025/3/9,2
2025/3/10,1
2025/3/11,1
2025/3/12,1
2025/3/13,1
2025/3/14,1
2025/3/15,2
2025/3/16,2
2025/3/17,1
2025/3/18,1
2025/3/19,1
2025/3/20,1
2025/3/21,1
2025/3/22,2
2025/3/23,2
2025/3/24,1
2025/3/25,1
2025/3/26,1
2025/3/27,1
2025/3/28,1
2025/3/29,2
2025/3/30,2
2025/3/31,1
2025/4/1,1
2025/4/2,1
2025/4/3,5
2025/4/4,5
2025/4/5,5
2025/4/6,5
2025/4/7,1
2025/4/8,1
2025/4/9,1
2025/4/10,1
2025/4/11,1
2025/4/12,4
2025/4/13,4
2025/4/14,3
2025/4/15,3
2025/4/16,3
2025/4/17,3
2025/4/18,3
2025/4/19,2
2025/4/20,2
2025/4/21,1
2025/4/22,1
2025/4/23,1
2025/4/24,1
2025/4/25,1
2025/4/26,2
2025/4/27,2
2025/4/28,1
2025/4/29,1
2025/4/30,1
2025/5/1,1
2025/5/2,1
2025/5/3,4
2025/5/4,2
2025/5/5,1
2025/5/6,1
2025/5/7,1
2025/5/8,1
2025/5/9,1
2025/5/10,2
2025/5/11,2
2025/5/12,1
2025/5/13,1
2025/5/14,1
2025/5/15,1
2025/5/16,1
2025/5/17,2
2025/5/18,2
2025/5/19,1
