Date,kpt,Temperature,Humidity,Rain,day_week,Hour,label
2024/7/12,604.5,28.5,86,0,5,0,63
2024/7/12,614.5,28.3,85,0,5,1,63
2024/7/12,610.25,27.9,86,0,5,2,63
2024/7/12,595.25,28,85,0,5,3,63
2024/7/12,603.25,27.9,86,0,5,4,63
2024/7/12,432.75,27.9,87,0,5,5,63
2024/7/12,299.75,28.2,86,0,5,6,63
2024/7/12,223.5,29.4,77,0,5,7,63
2024/7/12,187.75,30.7,70,0,5,8,63
2024/7/12,102.25,31.6,67,0,5,9,63
2024/7/12,-86.75,32.2,64,0,5,10,63
2024/7/12,8.75,32.7,64,0,5,11,63
2024/7/12,-21,33.7,64,0,5,12,63
2024/7/12,-56.5,33.7,65,0,5,13,63
2024/7/12,123.75,34.1,60,0,5,14,63
2024/7/12,299.75,33.3,66,0,5,15,63
2024/7/12,353.25,32.8,65,0,5,16,63
2024/7/12,480.5,32.4,64,0,5,17,63
2024/7/12,464,31.4,70,0,5,18,63
2024/7/12,473.25,31.1,72,0,5,19,63
2024/7/12,460.25,30.8,75,0,5,20,63
2024/7/12,449,30.7,76,0,5,21,63
2024/7/12,453.75,30.5,75,0,5,22,63
2024/7/12,450.75,30.1,78,0,5,23,63
2024/7/13,626,30,79,0,6,0,62
2024/7/13,618.25,29.7,81,0,6,1,62
2024/7/13,631,29.3,86,0,6,2,62
2024/7/13,596.5,29.2,86,0,6,3,62
2024/7/13,585,29,86,0,6,4,62
2024/7/13,426.75,28.9,86,0,6,5,62
2024/7/13,298.5,29,86,0,6,6,62
2024/7/13,212.5,30.1,78,0,6,7,62
2024/7/13,138,31.2,72,0,6,8,62
2024/7/13,63,32.3,66,0,6,9,62
2024/7/13,-114.75,32.6,67,0,6,10,62
2024/7/13,112.75,32.8,69,0,6,11,62
2024/7/13,193.75,32.9,69,0,6,12,62
2024/7/13,81.25,33.1,67,0,6,13,62
2024/7/13,-116,33.2,65,0,6,14,62
2024/7/13,-0.5,33.2,63,0,6,15,62
2024/7/13,175.75,32.8,62,0,6,16,62
2024/7/13,320.25,31.4,64,0,6,17,62
2024/7/13,408.75,30.5,64,0,6,18,62
2024/7/13,449,29.6,64,0,6,19,62
2024/7/13,426.25,29.9,66,0,6,20,62
2024/7/13,420.25,29.5,68,0,6,21,62
2024/7/13,418.5,29.2,70,0,6,22,62
2024/7/13,405.25,29.3,69,0,6,23,62
2024/7/14,618.5,29,70,0,0,0,62
2024/7/14,594.75,28.8,70,0,0,1,62
2024/7/14,546.25,28.6,66,0,0,2,62
2024/7/14,374,28.5,63,0,0,3,62
2024/7/14,376.75,27.7,68,0,0,4,62
2024/7/14,328.5,27.7,68,0,0,5,62
2024/7/14,295.5,28.3,63,0,0,6,62
2024/7/14,198.25,29.9,58,0,0,7,62
2024/7/14,117.25,31.6,55,0,0,8,62
2024/7/14,56,32.7,55,0,0,9,62
2024/7/14,58.25,33.4,54,0,0,10,62
2024/7/14,-33.5,34.1,54,0,0,11,62
2024/7/14,21.25,34,56,0,0,12,62
2024/7/14,-5.75,33.7,56,0,0,13,62
2024/7/14,98.25,34.4,54,0,0,14,62
2024/7/14,198.25,34.2,55,0,0,15,62
2024/7/14,296.5,33.9,56,0,0,16,62
2024/7/14,362.25,33,61,0,0,17,62
2024/7/14,459.5,32.4,65,0,0,18,62
2024/7/14,456.25,31.9,67,0,0,19,62
2024/7/14,453,31.5,70,0,0,20,62
2024/7/14,479.25,31.1,72,0,0,21,62
2024/7/14,459,30.8,73,0,0,22,62
2024/7/14,428.5,30.8,74,0,0,23,62
2024/7/15,437.75,30.6,73,0,1,0,64
2024/7/15,449,30.5,72,0,1,1,64
2024/7/15,469,29.6,78,0,1,2,64
2024/7/15,564,29.4,78,0,1,3,64
2024/7/15,517.75,29,78,0,1,4,64
2024/7/15,483.25,29.1,78,0,1,5,64
2024/7/15,339.75,29.2,78,0,1,6,64
2024/7/15,275.5,29.8,75,0,1,7,64
2024/7/15,248.75,30.9,70,0,1,8,64
2024/7/15,358.5,32.4,66,0,1,9,64
2024/7/15,172.75,32.5,68,0,1,10,64
2024/7/15,103.25,33.3,62,0,1,11,64
2024/7/15,214.5,33.7,60,0,1,12,64
2024/7/15,210.25,33.8,60,0,1,13,64
2024/7/15,253.75,33.8,57,0,1,14,64
2024/7/15,421.5,33.9,57,0,1,15,64
2024/7/15,526.25,34.3,54,0,1,16,64
2024/7/15,528.25,33.6,61,0,1,17,64
2024/7/15,537.75,32.2,72,0,1,18,64
2024/7/15,564.5,31,77,0,1,19,64
2024/7/15,538.5,30.5,79,0,1,20,64
2024/7/15,487,29.8,69,0,1,21,64
