Time,kpt,Temperature,Humidity,Rain,day_off,Hour,Minute,label
2024-07-11,522,30.9,74,0.0,0,17,30,6
2024-07-11,514,30.9,74,0.0,0,17,45,6
2024-07-11,509,31.1,73,0.0,0,18,0,6
2024-07-11,500,31.1,73,0.0,0,18,15,6
2024-07-11,513,31.1,73,0.0,0,18,30,6
2024-07-11,546,31.1,73,0.0,0,18,45,6
2024-07-11,520,30.3,77,0.0,0,19,0,6
2024-07-11,509,30.3,77,0.0,0,19,15,6
2024-07-11,500,30.3,77,0.0,0,19,30,6
2024-07-11,512,30.3,77,0.0,0,19,45,6
2024-07-11,515,29.8,79,0.0,0,20,0,6
2024-07-11,507,29.8,79,0.0,0,20,15,6
2024-07-11,487,29.8,79,0.0,0,20,30,6
2024-07-11,502,29.8,79,0.0,0,20,45,6
2024-07-11,512,29.6,78,0.0,0,21,0,6
2024-07-11,474,29.6,78,0.0,0,21,15,6
2024-07-11,447,29.6,78,0.0,0,21,30,6
2024-07-11,459,29.6,78,0.0,0,21,45,6
2024-07-11,454,29.4,78,0.0,0,22,0,6
2024-07-11,433,29.4,78,0.0,0,22,15,6
2024-07-11,441,29.4,78,0.0,0,22,30,6
2024-07-11,432,29.4,78,0.0,0,22,45,6
2024-07-11,431,28.9,84,0.0,0,23,0,6
2024-07-11,422,28.9,84,0.0,0,23,15,6
2024-07-11,420,28.9,84,0.0,0,23,30,6
2024-07-11,409,28.9,84,0.0,0,23,45,6
2024-07-12,590,28.5,86,0.0,1,0,0,6
2024-07-12,600,28.5,86,0.0,1,0,15,6
2024-07-12,618,28.5,86,0.0,1,0,30,6
2024-07-12,610,28.5,86,0.0,1,0,45,6
2024-07-12,601,28.3,85,0.0,1,1,0,6
2024-07-12,593,28.3,85,0.0,1,1,15,6
2024-07-12,632,28.3,85,0.0,1,1,30,6
2024-07-12,632,28.3,85,0.0,1,1,45,6
2024-07-12,634,27.9,86,0.0,1,2,0,6
2024-07-12,613,27.9,86,0.0,1,2,15,6
2024-07-12,601,27.9,86,0.0,1,2,30,6
2024-07-12,593,27.9,86,0.0,1,2,45,6
2024-07-12,592,28.0,85,0.0,1,3,0,6
2024-07-12,590,28.0,85,0.0,1,3,15,6
2024-07-12,586,28.0,85,0.0,1,3,30,6
2024-07-12,613,28.0,85,0.0,1,3,45,6
2024-07-12,624,27.9,86,0.0,1,4,0,6
2024-07-12,607,27.9,86,0.0,1,4,15,6
2024-07-12,605,27.9,86,0.0,1,4,30,6
2024-07-12,577,27.9,86,0.0,1,4,45,6
2024-07-12,556,27.9,87,0.0,1,5,0,6
2024-07-12,502,27.9,87,0.0,1,5,15,6
2024-07-12,341,27.9,87,0.0,1,5,30,6
2024-07-12,332,27.9,87,0.0,1,5,45,6
2024-07-12,318,28.2,86,0.0,1,6,0,6
2024-07-12,313,28.2,86,0.0,1,6,15,6
2024-07-12,294,28.2,86,0.0,1,6,30,6
2024-07-12,274,28.2,86,0.0,1,6,45,6
2024-07-12,256,29.4,77,0.0,1,7,0,6
2024-07-12,224,29.4,77,0.0,1,7,15,6
2024-07-12,212,29.4,77,0.0,1,7,30,6
2024-07-12,202,29.4,77,0.0,1,7,45,6
2024-07-12,210,30.7,70,0.0,1,8,0,6
2024-07-12,267,30.7,70,0.0,1,8,15,6
2024-07-12,158,30.7,70,0.0,1,8,30,6
2024-07-12,116,30.7,70,0.0,1,8,45,6
2024-07-12,132,31.6,67,0.0,1,9,0,6
2024-07-12,87,31.6,67,0.0,1,9,15,6
2024-07-12,105,31.6,67,0.0,1,9,30,6
2024-07-12,85,31.6,67,0.0,1,9,45,6
2024-07-12,-90,32.2,64,0.0,1,10,0,6
2024-07-12,-86,32.2,64,0.0,1,10,15,6
2024-07-12,-81,32.2,64,0.0,1,10,30,6
2024-07-12,-90,32.2,64,0.0,1,10,45,6
2024-07-12,41,32.7,64,0.0,1,11,0,6
2024-07-12,112,32.7,64,0.0,1,11,15,6
2024-07-12,-32,32.7,64,0.0,1,11,30,6
2024-07-12,-86,32.7,64,0.0,1,11,45,6
2024-07-12,-50,33.7,64,0.0,1,12,0,6
2024-07-12,-39,33.7,64,0.0,1,12,15,6
2024-07-12,-44,33.7,64,0.0,1,12,30,6
2024-07-12,49,33.7,64,0.0,1,12,45,6
2024-07-12,47,33.7,65,0.0,1,13,0,6
2024-07-12,-103,33.7,65,0.0,1,13,15,6
2024-07-12,-95,33.7,65,0.0,1,13,30,6
2024-07-12,-75,33.7,65,0.0,1,13,45,6
2024-07-12,-48,34.1,60,0.0,1,14,0,6
2024-07-12,34,34.1,60,0.0,1,14,15,6
2024-07-12,227,34.1,60,0.0,1,14,30,6
2024-07-12,282,34.1,60,0.0,1,14,45,6
2024-07-12,273,33.3,66,0.0,1,15,0,6
2024-07-12,278,33.3,66,0.0,1,15,15,6
2024-07-12,310,33.3,66,0.0,1,15,30,6
2024-07-12,338,33.3,66,0.0,1,15,45,6
2024-07-12,333,32.8,65,0.0,1,16,0,6
2024-07-12,329,32.8,65,0.0,1,16,15,6
2024-07-12,360,32.8,65,0.0,1,16,30,6
2024-07-12,391,32.8,65,0.0,1,16,45,6
2024-07-12,479,32.4,64,0.0,1,17,0,6
2024-07-12,497,32.4,64,0.0,1,17,15,6
2024-07-12,492,32.4,64,0.0,1,17,30,6
2024-07-12,454,32.4,64,0.0,1,17,45,6
2024-07-12,459,31.4,70,0.0,1,18,0,6
2024-07-12,450,31.4,70,0.0,1,18,15,6
2024-07-12,471,31.4,70,0.0,1,18,30,6
2024-07-12,476,31.4,70,0.0,1,18,45,6
2024-07-12,477,31.1,72,0.0,1,19,0,6
2024-07-12,478,31.1,72,0.0,1,19,15,6
2024-07-12,470,31.1,72,0.0,1,19,30,6
2024-07-12,468,31.1,72,0.0,1,19,45,6
2024-07-12,457,30.8,75,0.0,1,20,0,6
2024-07-12,463,30.8,75,0.0,1,20,15,6
2024-07-12,462,30.8,75,0.0,1,20,30,6
2024-07-12,459,30.8,75,0.0,1,20,45,6
2024-07-12,445,30.7,76,0.0,1,21,0,6
2024-07-12,454,30.7,76,0.0,1,21,15,6
2024-07-12,445,30.7,76,0.0,1,21,30,6
2024-07-12,452,30.7,76,0.0,1,21,45,6
2024-07-12,457,30.5,75,0.0,1,22,0,6
2024-07-12,455,30.5,75,0.0,1,22,15,6
2024-07-12,451,30.5,75,0.0,1,22,30,6
2024-07-12,452,30.5,75,0.0,1,22,45,6
2024-07-12,444,30.1,78,0.0,1,23,0,6
2024-07-12,437,30.1,78,0.0,1,23,15,6
2024-07-12,447,30.1,78,0.0,1,23,30,6
2024-07-12,475,30.1,78,0.0,1,23,45,6
2024-07-13,643,30.0,79,0.0,1,0,0,6
2024-07-13,625,30.0,79,0.0,1,0,15,6
2024-07-13,620,30.0,79,0.0,1,0,30,6
2024-07-13,616,30.0,79,0.0,1,0,45,6
2024-07-13,614,29.7,81,0.0,1,1,0,6
2024-07-13,602,29.7,81,0.0,1,1,15,6
2024-07-13,612,29.7,81,0.0,1,1,30,6
2024-07-13,645,29.7,81,0.0,1,1,45,6
2024-07-13,659,29.3,86,0.0,1,2,0,6
2024-07-13,643,29.3,86,0.0,1,2,15,6
2024-07-13,612,29.3,86,0.0,1,2,30,6
2024-07-13,610,29.3,86,0.0,1,2,45,6
2024-07-13,601,29.2,86,0.0,1,3,0,6
2024-07-13,589,29.2,86,0.0,1,3,15,6
2024-07-13,589,29.2,86,0.0,1,3,30,6
2024-07-13,607,29.2,86,0.0,1,3,45,6
2024-07-13,623,29.0,86,0.0,1,4,0,6
2024-07-13,599,29.0,86,0.0,1,4,15,6
2024-07-13,565,29.0,86,0.0,1,4,30,6
2024-07-13,553,29.0,86,0.0,1,4,45,6
2024-07-13,540,28.9,86,0.0,1,5,0,6
2024-07-13,482,28.9,86,0.0,1,5,15,6
2024-07-13,342,28.9,86,0.0,1,5,30,6
2024-07-13,343,28.9,86,0.0,1,5,45,6
2024-07-13,338,29.0,86,0.0,1,6,0,6
2024-07-13,311,29.0,86,0.0,1,6,15,6
2024-07-13,289,29.0,86,0.0,1,6,30,6
2024-07-13,256,29.0,86,0.0,1,6,45,6
2024-07-13,213,30.1,78,0.0,1,7,0,6
2024-07-13,250,30.1,78,0.0,1,7,15,6
