"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1009.3","1015.0","17.8","17.6","99","1.1","180","1.8","200","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1009.2","1014.9","17.5","17.2","98","0.3","180","2.2","150","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1009.1","1014.8","16.9","16.6","98","1.2","30","1.6","30","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1009.0","1014.7","17.0","16.8","99","0.5","80","2.0","40","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1008.8","1014.5","16.5","16.2","98","0.8","140","1.3","150","0.0","0.0","--","0.00","--","0","--","19.6","21.2","21.6","22.9","23.5","24.3","27.3"
"06","1009.4","1015.1","15.9","15.6","98","0.1","0","1.0","150","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1009.8","1015.5","16.3","16.0","98","0.2","0","0.6","180","0.0","0.0","0.2","0.06","--","0","--","--","--","--","--","--","--","--"
"08","1010.5","1016.2","18.5","18.0","97","0.9","340","1.9","330","0.0","0.0","1.0","0.63","12.0","0","2.0","--","--","--","--","--","--","--"
"09","1011.1","1016.8","21.2","18.4","84","0.7","330","2.1","310","0.0","0.0","1.0","1.35","20.0","2","1.0","21.1","20.8","21.1","22.5","23.3","24.3","27.3"
"10","1011.1","1016.7","23.5","16.3","64","0.4","360","2.3","30","0.0","0.0","1.0","1.90","--","3","--","--","--","--","--","--","--","--"
"11","1010.8","1016.4","24.6","15.8","58","1.2","290","2.8","300","0.0","0.0","1.0","2.37","30.0","5","0.0","--","--","--","--","--","--","--"
"12","1009.9","1015.5","25.8","16.7","57","1.1","260","3.9","360","0.0","0.0","1.0","2.57","--","6","--","--","--","--","--","--","--","--"
"13","1008.7","1014.2","26.1","16.1","54","1.6","260","4.6","260","0.0","0.0","1.0","2.47","--","5","--","--","--","--","--","--","--","--"
"14","1008.0","1013.5","26.4","16.9","56","1.6","350","3.7","320","0.0","0.0","1.0","2.04","20.0","4","2.0","25.6","23.1","23.3","22.9","23.2","24.2","27.2"
"15","1008.0","1013.5","26.1","18.8","64","1.6","320","4.7","320","0.0","0.0","1.0","1.53","--","2","--","--","--","--","--","--","--","--"
"16","1008.0","1013.6","25.3","18.0","64","2.2","320","3.9","310","0.0","0.0","1.0","0.82","--","1","--","--","--","--","--","--","--","--"
"17","1008.4","1014.0","24.0","18.0","69","1.0","320","3.4","340","0.0","0.0","0.4","0.21","15.0","0","2.0","--","--","--","--","--","--","--"
"18","1008.7","1014.3","22.0","18.2","79","0.7","50","2.4","320","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"19","1009.4","1015.0","21.0","18.8","87","1.1","130","1.4","140","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1009.9","1015.6","20.3","19.8","97","0.5","160","1.3","140","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1009.9","1015.6","19.6","19.4","99","1.1","140","2.2","140","0.0","0.0","--","0.00","--","0","--","21.9","22.9","23.2","23.8","23.8","24.3","27.2"
"22","1009.9","1015.6","19.0","18.3","96","0.3","160","1.8","130","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1010.1","1015.8","18.6","18.1","97","0.8","300","2.0","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1010.2","1015.9","18.3","17.8","97","0.5","80","0.8","80","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
