"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","紫外線指數","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","UVI","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1008.7","1014.4","19.1","16.5","85","0.8","300","1.9","30","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"02","1009.0","1014.7","18.8","16.4","86","1.4","330","2.7","320","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"03","1008.2","1013.9","18.4","16.6","89","1.7","20","3.1","360","T","0.1","--","0.00","0","--","--","--","--","--","--","--"
"04","1008.0","1013.7","18.5","17.0","91","1.9","350","3.4","350","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"05","1008.4","1014.1","18.7","17.4","92","1.2","330","3.3","360","0.0","0.0","--","0.00","0","21.9","21.4","21.6","22.3","22.5","22.7","23.4"
"06","1008.4","1014.1","18.7","17.5","93","0.6","320","2.3","360","0.0","0.0","0.0","0.01","0","--","--","--","--","--","--","--"
"07","1008.9","1014.6","19.1","17.8","92","1.8","340","3.7","340","0.0","0.0","0.0","0.17","0","--","--","--","--","--","--","--"
"08","1010.0","1015.7","19.9","17.7","87","2.2","350","4.5","340","0.0","0.0","0.1","0.56","1","--","--","--","--","--","--","--"
"09","1010.8","1016.5","20.2","17.8","86","1.6","350","4.8","340","0.0","0.0","0.0","0.48","1","22.6","21.3","21.5","22.1","22.4","22.7","23.4"
"10","1010.5","1016.1","21.2","17.8","81","1.3","320","3.0","320","0.0","0.0","0.0","0.93","2","--","--","--","--","--","--","--"
"11","1010.2","1015.8","22.1","17.5","75","2.1","340","4.0","350","0.0","0.0","0.0","1.09","3","--","--","--","--","--","--","--"
"12","1009.7","1015.3","23.3","17.8","71","1.7","340","3.7","30","0.0","0.0","0.0","1.40","4","--","--","--","--","--","--","--"
"13","1008.7","1014.3","24.5","18.5","69","2.2","330","4.6","330","0.0","0.0","0.2","2.21","7","--","--","--","--","--","--","--"
"14","1008.2","1013.8","25.7","17.9","62","2.6","320","5.9","340","0.0","0.0","0.3","2.28","6","25.8","22.4","22.7","22.4","22.4","22.7","23.4"
"15","1007.5","1013.0","26.0","18.2","62","3.4","320","5.8","320","0.0","0.0","1.0","2.47","5","--","--","--","--","--","--","--"
"16","1007.2","1012.7","25.9","18.1","62","2.8","340","6.5","320","0.0","0.0","1.0","1.77","3","--","--","--","--","--","--","--"
"17","1007.7","1013.3","25.3","17.8","63","2.7","320","5.9","320","0.0","0.0","1.0","0.94","1","--","--","--","--","--","--","--"
"18","1008.2","1013.8","23.7","17.5","68","2.2","330","5.4","320","0.0","0.0","0.3","0.22","0","--","--","--","--","--","--","--"
"19","1008.8","1014.4","22.4","17.3","73","1.4","330","4.1","320","0.0","0.0","0.0","0.00","0","--","--","--","--","--","--","--"
"20","1009.2","1014.8","21.9","17.3","75","0.9","20","4.1","330","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"21","1010.0","1015.6","21.5","16.9","75","2.1","320","3.4","320","0.0","0.0","--","0.00","0","23.5","23.0","23.1","23.2","22.9","22.7","23.4"
"22","1010.5","1016.1","21.2","16.2","73","0.9","260","3.8","350","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"23","1010.2","1015.8","21.2","17.0","77","0.5","290","1.9","270","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
"24","1010.0","1015.7","20.3","16.7","80","0.5","350","1.5","310","0.0","0.0","--","0.00","0","--","--","--","--","--","--","--"
