siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
34,線西,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 11:00",1.1
85,大城,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 11:00",345
85,大城,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 11:00",0.7
85,大城,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 11:00",0
85,大城,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 11:00",31.9
85,大城,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 11:00",37
85,大城,彰化縣,3,臭氧,O3,ppb,"2024-09-02 11:00",60.9
85,大城,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 11:00",0.19
85,大城,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 11:00",2.5
35,二林,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 11:00",0
35,二林,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 11:00",0
35,二林,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 11:00",2.06
35,二林,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 11:00",2.7
35,二林,彰化縣,3,臭氧,O3,ppb,"2024-09-02 11:00",60.7
35,二林,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 11:00",0.24
35,二林,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 11:00",1.6
34,線西,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 11:00",335
34,線西,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 11:00",324
33,彰化,彰化縣,10,風速,WIND_SPEED,m/sec,"2024-09-02 11:00",1.9
33,彰化,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 11:00",8.3
33,彰化,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 11:00",31
33,彰化,彰化縣,3,臭氧,O3,ppb,"2024-09-02 11:00",72.4
33,彰化,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 11:00",0.39
33,彰化,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 11:00",1.4
33,彰化,彰化縣,6,一氧化氮,NO,ppb,"2024-09-02 11:00",0.9
33,彰化,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 11:00",7.4
33,彰化,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 11:00",2.14
33,彰化,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 11:00",0.04
33,彰化,彰化縣,11,風向,WIND_DIREC,degrees,"2024-09-02 11:00",349
33,彰化,彰化縣,14,溫度,AMB_TEMP,℃,"2024-09-02 11:00",33.6
33,彰化,彰化縣,23,雨量,RAINFALL,mm,"2024-09-02 11:00",0
33,彰化,彰化縣,31,甲烷,CH4,ppm,"2024-09-02 11:00",2.1
33,彰化,彰化縣,33,細懸浮微粒,PM2.5,μg/m3,"2024-09-02 11:00",24
33,彰化,彰化縣,38,相對濕度,RH,%,"2024-09-02 11:00",60
33,彰化,彰化縣,143,小時風速值,WS_HR,m/sec,"2024-09-02 11:00",1.6
33,彰化,彰化縣,144,小時風向值,WD_HR,degrees,"2024-09-02 11:00",348
34,線西,彰化縣,1,二氧化硫,SO2,ppb,"2024-09-02 11:00",4
34,線西,彰化縣,2,一氧化碳,CO,ppm,"2024-09-02 11:00",0.51
34,線西,彰化縣,3,臭氧,O3,ppb,"2024-09-02 11:00",63.3
34,線西,彰化縣,4,懸浮微粒,PM10,μg/m3,"2024-09-02 11:00",38
34,線西,彰化縣,5,氮氧化物,NOx,ppb,"2024-09-02 11:00",6.7
34,線西,彰化縣,7,二氧化氮,NO2,ppb,"2024-09-02 11:00",5.6
34,線西,彰化縣,8,總碳氫化物,THC,ppm,"2024-09-02 11:00",2
34,線西,彰化縣,9,非甲烷碳氫化合物,NMHC,ppm,"2024-09-02 11:00",0.03
